,date,confirmed,deaths,recovered
270,2020-10-18,7550273,114610,6663608
271,2020-10-19,7597063,115197,6733328
272,2020-10-20,7651107,115914,6795103
273,2020-10-21,7706946,116616,6874518
274,2020-10-22,7761312,117306,6948497
275,2020-10-23,7814682,117956,7016046
276,2020-10-24,7864811,118534,7078123
277,2020-10-25,7909959,119014,7137228
278,2020-10-26,7946429,119502,7201070
279,2020-10-27,7990322,120010,7259509
280,2020-10-28,8040203,120527,7315989
281,2020-10-29,8088851,121090,7373375
